text,source,category,class
প্রিয় বলতে একটা তুমিই আছো যত অভিমানই করো আমার জান তোমাকে ছাড়া আর কাউকে লাগেনা ভালো,Instagram,Safe,Safe
মুখে এ হাইগা দিমু,toxic_comments,Unsafe,Harmful
"Meye manushra ato Kom understanding ken? Ora Ki bujhe nah Amaro, different priorities ase.Bhaiya apni Ki,Antik Mahmud nah?AREEH FAMTIK NAKI? KI LAGBE BOLEN? CHOBI TULBEN?Oh rumal E autograph,LAGBEEEE!Amar kache to marker TAEKER NAI! Kire or kisu hoilo,NAH KEN?Ami to chlorofome,MARI NAI:( Tahole ai rumal tui,DISOS KEN AMARE Ami to bhabsi tui,NAK MUCHBI!ARREH CHAGOL Ami ore oggan kormu.Ato jore boilo na,SHUINA FELBE!Ay apni shuntesen?NAH BHAI...! Shuntese nah,somossha nai,AY KHARA! AY KHARA! BACHAO AMAKE BACHAO!",Facebook,Safe,Safe
"এক কাপ আদা দিয়ে দুধ চা অথবা মসলাযুক্ত রং চা। আমাদের প্রতিটি চায়ের কাপে এক একটি গল্প রচিত হয়। ছুটিতে যখন বাসায় যাই ,অনেক চা বানাই পান করি। কিন্তু সন্তোষ আসার পর মনে হয় কতদিন যেন চা খাই না।",BanglaSAPM,Safe,Safe
"সফল আর ব্যর্থ মানুষের তফাৎ ফুল আর ঝরে যাওয়া পাতার মত৷ লোকে সযত্নে ফুল তুলে নিলেও ঝরে যাওয়া পাতাগুলোর স্থান পায়ের নিচে৷ কেউ এক দু'বার হয়তো বিরক্তিভরা দৃষ্টিতে চাইবে,কেউ বা না তাকিয়েই মাড়িয়ে যাবে৷ সম্ভবত অধিকাংশ মানুষ শিক্ষাজীবনের শেষ পর্যায়ে এ কথাগুলো নিদারুণভাবে টের পায়৷",BanglaSAPM,Unsafe,Suicidal
"অবিশ্বাস নিয়াবইয়া থাকেন। আবার প্রচারে নামছেনক্যান, মতলব কী।অনুরাগি খুঁজেন বোধ হয়।",bangla_comment_dataset,Safe,Safe
"অনেক মজা পাইছি যে ভাই তাই,",bangla_comment_dataset,Safe,Safe
POV: You are Topshe,Instagram,Safe,Safe
মাশাল্লাহ!!শুভকামনা ❤️,bangla_comment_dataset,Safe,Safe
এই জীবন থেকে সুখ শান্তি যেন চির বিদায় নিয়েছে।কি করবো এই জীবন নিয়ে,BanglaSAPM,Unsafe,Suicidal
আল্লাহ্ আপনাকে হেদায়েত নসিব করুক আমিন,bangla_comment_dataset,Safe,Safe
"শহর ছেড়ে গ্রামে এসেছি৷ সকাল থেকে শান্তিপূর্ণ সভা-সমাবেশ হচ্ছে প্রকৃতির সাথে। কলার ফুলে প্রজাপতি এসে ফিরে গেছে, বোলতা এসেছে একই সাথে বসে মধু পান করছে, 

শিমের নকনকে ডোগায় বাতাস দোল দিচ্ছে, 
বিকালে বিল্লির বাঁচ্চা  আসবে, 
কাঁচা কলা দিয়ে শিং মাছের ঝোল, 
চিনা হাঁসের মাংস, নারকেলের দুধ দিয়ে৷ 
জীবন আপাতত পাল্টে গেছে। 😃

আলহামদুলিল্লাহ। 🖤",BanglaSAPM,Safe,Safe
অহংকারী কে আল্লাহ পাক রাব্বুল আলামীন পছন্দ করেন না। হিরো আলম এগিয়ে যাও তোমার জন্য দোয়া রইলো।,bangla_comment_dataset,Safe,Safe
কার সাথে মিশবো সবাই ফলো নেশা করে,Facebook,Unsafe,Harmful
আল্লাহ তায়ালা আপ্নাকে ভালো রাখেন কামনা করি ,bangla_comment_dataset,Safe,Safe
ভাই caption গুলা বাংলা লেখবেন দয়াকরে !!কারণ আপনার বাংলিশ বুঝি নাহ !!,bangla_comment_dataset,Safe,Safe
কেমন অাছেন ভাই??,bangla_comment_dataset,Safe,Safe
ইনশাআল্লাহ দোয়া করবেন,bangla_comment_dataset,Safe,Safe
তর চোখ ২ টা পুটকির ভিওে ভইরা দিমু....পরে চোখে খালি গু দেখবি হালার গরের হালা।,toxic_comments,Unsafe,Adult
"স্যারের কাছে প্রাইভেট পড়া পোলাপান ফেল করার পর, তুই শালা জাতীয় বেইমান",bengali_hate,Unsafe,Harmful
"প্রিয়,,, ",bangla_comment_dataset,Safe,Safe
"দাদা শেষে কিনা বুড়ির কাছে ধরা দিলে, ?জলের বোতল ছিলো একটা মেয়ের হাতে মালটা দারুন ",bengali_hate,Unsafe,Adult
তুই একটা আরাচোদা,toxic_comments,Unsafe,Harmful
এদের ভোট দেওয়া থেকে দুরে থাকুন,bangla_comment_dataset,Safe,Safe
আপনার বা আপনার বাবার টাকার পরিমাণের উপর নির্ভর করে আপনার প্রতি আশেপাশের মানুষের আচরণটা কেমন হবে,BanglaSAPM,Unsafe,Suicidal
মুনডা চাইতাছে তোর পুট ি* র ভিতরে এনাকোন্ডা হান্দাই দেই। খা*কির পোলা তোর এই বাল মারকা পেজ এর জন্য গালি শিখছি আমি।তর সাত প্রজন্ম রে গাইলামু।,toxic_comments,Unsafe,Adult
"পরশু আমার একটা বন্ধু মারা গেলো!
পরের দিন দাফন!
দাফনের পরে সবাই নিজের জীবনে ফিরে গেলো!
কেউ কি আবার জিয়ারত করতে আসবে?
মনে হয় না!
আমরা এমনই!
কেউ আমাদের না!
বা আমরা কারো না!
ঐ শুধু Hangout করতে কল আসবে!
জিয়ারত তো দূরের জিনিস!",BanglaSAPM,Safe,Safe
জয় বাংলাদেশ।,bangla_comment_dataset,Safe,Safe
MunMum Islam,Facebook,Safe,Safe
খুব অপেক্ষায় আছি ,bangla_comment_dataset,Safe,Safe
মাশা-আল্লাহ কেমন আছেন ভাই,bangla_comment_dataset,Safe,Safe
"আজকে নববর্ষ,চারদিকে অনেক ভীর।তাই সিরিয়াল ভাইঙ্গা গালি দিচ্ছি।এভাবে পুক্কি উচা করে ডগি স্টাইলে দাঁড়িয়ে লাভ নেই ভন্দু।
কেউ তোমার পুক্কি মারবে না।",toxic_comments,Unsafe,Adult
আমিন! আল্লাহ আপনাকে সহ আমাদের সবাইকে হেদায়াত ও নেক হায়াত দান করুন।,bangla_comment_dataset,Safe,Safe
এ মাগি কাপড় টা আরেকটু উপরে তুল,bengali_hate,Unsafe,Adult
"তোমাকে জানাই পবিত্র ঈদুল ফিতরের শুভেচ্ছা ও অভিনন্দন ""ঈদ মোবারক""।",bangla_comment_dataset,Safe,Safe
ঈদ মোবারক কুয়েত থেকে যুক্ত আছি।,bangla_comment_dataset,Safe,Safe
ফালতু মিডিয়ালজ্জা করে না অন্যদের সম্পর্কে অশালীন মন্তব্য করতে!,bengali_hate,Safe,Safe
বোরকা তোমায় সুন্দর লাগছে,bangla_comment_dataset,Safe,Safe
হালা আলমের বাল ভর্তা খাইছে,toxic_comments,Unsafe,Adult
ভালো লেগেছে ,bangla_comment_dataset,Safe,Safe
এতে আমার মনে হয় তোর জন্মের দোষ আছে।,toxic_comments,Unsafe,Harmful
সাউয়ার অনুস্ঠান জয় টোটালি আবাল চো**,toxic_comments,Unsafe,Harmful
মন ফড়িঙের গল্প... <3,bangla_comment_dataset,Safe,Safe
এতো রোদ্দুর তুই এনে দিলি তাই তোর বৃষ্টি আমি একটু পেতে চাই মেঘলা হয়ে যাক আরো পাঁচটা বারো মাস কোনো বিকেল বেলাতে তুই আমার হয়ে যাস শুধু তুই শুধু তুই আর চাইছি না কিছুই সুধু তুই,Instagram,Safe,Safe
মাঝেমধ্যে সৃষ্টিকর্তা কিছু কিছু মানুষকে বাঁচিয়ে রাখেন। মৃত্যুর মুখ থেকে ফিরিয়ে আনেন। সম্ভবত নিজেদের কর্মফল এবং তার শেষ পরিণতি দেখানোর জন্য।,BanglaSAPM,Safe,Safe
"সবচে ফান ফ্যাক্ট হচ্ছে, এসব পোলাগুলারে তাদের বন্ধুবান্ধব আশেপাশের লোকজন শিখাবে ""আরে দোস্ত বাদ দে আগের মাইয়াডারে। ওয় সঠিক মানুষ ছিলোনা। নতুন যে আইসে সে সঠিক মানুষ এজন্যে তুই পরিবর্তন হইছস, কারন তুই ফিল করছস তার জন্য পরিবর্তন হওয়া দরকার। সেই ভাইয়ারাও হয় হয় করে। কিন্তু মনে মনে তারা জানে, তারা কেন দায়িত্ববান হইছে। তারা ঠুয়া খাইয়া দায়িত্ববান হইছে, আরেকজনের চোখের জলের উপর দিয়া হইছে। প্রাক্তন মুভিটা একটা ট্রাশ, কিন্তু একটা সুন্দর জিনিস আসে। উজানের পরিবর্তন। উজান পুরাটা সময় ঋতুর সামনে মাথা নোয়ায়ে আছিলো, কারন অপরাজিতা আঢ্যের এডজাস্টমেন্ট মানেই হেরে যাওয়া নয়গো দিদিভাই এই ফ্রেইজ বাদ দিলেও উজান জানতো যে তারে সুপুরুষ বা আজকের পুরুষমানুষটা কে বানাইছে, কার প্রস্থান বানাইছে""।",BanglaSAPM,Safe,Safe
"জীবনের সাথে আমরা যুদ্ধ করতে করতে একদম একা হয়ে যাই, কোন কোলাহল ভালো লাগে না,নিরব নিস্তব্ধ আর অন্ধকার খুব প্রিয় হয়ে উঠে।",BanglaSAPM,Unsafe,Suicidal
অপারেশন অগ্নিপথ  kemne Kobe bojlamna,bangla_comment_dataset,Safe,Safe
ধন্যবাদ হিরো,bangla_comment_dataset,Safe,Safe
ছোট ছোট ফকিন্নি মাইরা ব্যাটা তুই হ্যাডম দেখাস?,bengali_hate,Unsafe,Harmful
"জেনেছি তুমি জীবন মরণে বিমুগ্ধ চেতনার সারা বিশ্বের বিস্ময়, তুমি আমার অহংকার। বিজয় দিবসের শুভেচ্ছা",bangla_comment_dataset,Safe,Safe
আগুন তো তোর গায়ে দেয়া উচিত ছিলো.....!!,bangla_comment_dataset,Safe,Safe
আমি তোমার নিরাময় ছিলাম আর তুমি আমার রোগ হয়েছ আমি তোমাকে বাঁচিয়ে ছিলাম তুমি আমাকে হত্যা করেছো,BanglaSAPM,Safe,Safe
"সাব্বাস,মনের কথা বলেছো।",bangla_comment_dataset,Safe,Safe
তোমার পটুতে বজ্রপাত হোক,toxic_comments,Unsafe,Adult
"আমি কোনোমতেই মানসিক ভাবে শান্তি পাচ্ছি না, একটু ভালো যায় তো হঠাৎ করে আবার সব পুরনো কথা মনে হয়, তখন নিজেই কান্না করি। এভাবে বেঁচে থাকা যাচ্ছে না আর। জীবিত থেকেও মৃত হয়ে যাচ্ছি। এর চাইতে একবারেই মরণ ভালো। ",BanglaSAPM,Unsafe,Suicidal
"কিস্তির টাকা দিয়া এমবি কিনছিলাম খা*কির পোলা, :-) তোর এই আদোচা ফটু দেখার জন্যে?",toxic_comments,Unsafe,Adult
আমি কমেন্ট দেখার জন্য লাইভ দেখতেছি সবাই সুন্দর সুন্দর কমেন্ট করতেছি,bangla_comment_dataset,Safe,Safe
মহান আল্লাহ পাক উনাকে জান্নাত নসিব করুক। আমিন,bangla_comment_dataset,Safe,Safe
ইন্নালিল্লাহি ওয়াইন্নইলাহি রাজিউন,bangla_comment_dataset,Safe,Safe
"এই যে আগে ধুলাবালির জন্য আব্বু আম্মু মাস্ক পড়তে বলতো কখনো কখনো, হাসাহাসি করতাম। আজকে এটা ছাড়া বের হওয়া ভাবতেও পারি না, হায় অদৃষ্ট! ",BanglaSAPM,Safe,Safe
তোর প্যান্টের পকেট থেকে ধনিয়া পাতা নিয়ে তরকারি রান্না করছি। সবাই এমন করছে কেন?,Facebook,Unsafe,Harmful
বীর পুরুষের জন্ম সর্বদাই গরিবের ঘরে হয় জাস্ট ওয়াও বাঘের বাচ্চা বয়স্ক পিচ্চি,Facebook,Unsafe,Harmful
ইন্সাআল্লাহ নৌকা,bangla_comment_dataset,Safe,Safe
"টিপ্পটা ভিতরের সব দুধ মাইর কইরা ফালামু, ,",toxic_comments,Unsafe,Adult
যাকে ভালবাসি তার বিয়ে! এত ভালো একটা মানুষকে হারিয়ে ফেললাম কিছুতেই মেনে নিতে পারছি না। তাকে ছাড়া সম্ভব না বেঁচে থাকা। না আমি পারবো না। ,BanglaSAPM,Unsafe,Suicidal
শালা ফকির তরে ভিডিও করতে কে বলে,Facebook,Unsafe,Harmful
"চেহারার একি অবস্থা? একটু সাবধানে থাইকেন,,,??",bangla_comment_dataset,Safe,Safe
এইগুলি আমরা মেনে চলবো,bangla_comment_dataset,Safe,Safe
আবাল এইগুলোও তোর কাছে লোক হাসানো প্রশ্ন মনে হয়??,bengali_hate,Unsafe,Harmful
"ভোটের অাগের দিন রাত ৮টায় পুরো এলাকায় পুলিশ তল্লাশি চালাই, সাউন্ড় গ্রেন্ড দিয়ে অাতঙ্ক সৃষ্টি করে। বিনা অপরাধে নিরিহ লোকদের গ্রেফতার করে। রাত ১২ টায় পুনরায় পুরো এলাকায় অাতঙ্ক সৃষ্টি করে, তার পর পর পুলিশ এবং অাওয়ামী কর্মী বাহিনি দিয়ে ঝাল ভোটের মাধ্যমে ব্যালট বক্স ভরে।ধিক্কার ধিক্কার।",bangla_comment_dataset,Safe,Safe
মেয়েরা বেকুবই হয় নতুন কিছু না হা হা হা,bengali_hate,Unsafe,Harmful
জীবনে অনেক বড় হওয়ার ইচ্ছেটাই আমাদের আজ গিলে খাচ্ছে!,BanglaSAPM,Unsafe,Suicidal
তরে উপ্তা কৈরা গাছের লগে বাইন্ধা একটা ষাঁড় ছাইড়া দিতে পারতাম যদিরে আরিপ্পা,toxic_comments,Unsafe,Harmful
School এ যখন হাগা পায় 5-3= nura Pagla 2.0,Facebook,Unsafe,Harmful
"আমি আসলে যে কোনো মেয়েকে পছন্দ হলে তাকে সেটা সরাসরি বলতে পারিনা, ভাব ভঙ্গি ইশারা দিয়ে বোঝানোর চেস্টা করি, এবং বেশি মেয়ে একসাথে দাড়িয়ে আছে দেখলে একদম কারো দিকেই তাকাঁয়না সোজা নিচে দেখে চলে আসি।",BanglaSAPM,Safe,Safe
মাইরাা মুতাই ফেল্মু,toxic_comments,Unsafe,Harmful
"এতদিন স্বপ্ন দেখতাম কবে আমার মাকে দামী উপহার কিনে দেওয়ার সামর্থ্য হবে আমি। আজ সেইদিন চলে এলো🥰। মা'র জন্মদিনে নিজের জমানো সবটাকা দিয়ে তাকে জন্মদিনের উপহার দিলাম🎁 শাড়ি, গহনা আরও কিছু ভালোবাসার উপহার💓। তার অনেক পছন্দ হয়েছে💘।",BanglaSAPM,Safe,Safe
দেহ ব্যবসায়ী মমতাজ যদি সংসদ সদস্য হতেপারে তাহলে হিরো আলম হতে পারবেনা কেনো??,bengali_hate,Unsafe,Adult
সামান্তরিকের বিপরীত বাহুদ্বয় কেমন? উত্তর :,Facebook,Safe,Safe
"হেতেরে টঙ্গীর নর্দমাতে ফালাইয়া,,,
আধা ঘন্টা চুবাইলে শান্তি পাইতাম",toxic_comments,Unsafe,Harmful
নারী তার পছন্দের মানুষকে কখনোও ভয় পায়ের না কথাটা কতটুক % সত্যিই Comment only girl,Instagram,Safe,Safe
Bengali's>>>,Instagram,Safe,Safe
"জীবনের সকল পরিস্থিতিতে পজিটিভ থাকাটা খুব উপকার দেয়।
মনের শান্তিই বড় শান্তি, বেশি থেকে বেশি কি হবে আর।
আল্লাহ যতক্ষণ না চাইবেন, মরে তো আর যাবো না।",BanglaSAPM,Safe,Safe
এক পৃথিবী শূন্যতা ছাড়া আর কিছুই দেখছি না আজ।,BanglaSAPM,Unsafe,Suicidal
"এটা কোন মিউজিক হল?কমন কিছু সুর,যা ব্যান্ড মিউজিকের সাথে যায় না।",bangla_comment_dataset,Safe,Safe
"রিযিক অনেক জটিল হিসাব 
আজ  তাড়াহুড়ো করে  বের হই আগ্রাবাদ  মোড়ে এসে দেখি মাত্র ৪ টাকা  এটা দিয়েই গেলাম এলাম। 
মাঝে রাহাত,  উৎপল , রুপু ৩জন  আমার  রিযিকের উছিলা হয়ে যায়।",BanglaSAPM,Safe,Safe
আলহামদুলিল্লাহ‍,bangla_comment_dataset,Safe,Safe
কিছু যন্ত্রণার কোন জাগতিক উপশম নেই৷ হয় নেই কিংবা ভাগ্যে নেই৷🙂,BanglaSAPM,Unsafe,Suicidal
"আমরা সবাই হতাশ।কোনো না কোনো কারণে হতাশ।শুধু এটুকুই জানি,আমরা হতাশ।",BanglaSAPM,Unsafe,Suicidal
Not Found,Facebook,Unsafe,Harmful
তুই মডেল বলেই দেশে মডেলিং এর এত অগ্রগতি ।। চালিয়ে যা আর মারা খা,toxic_comments,Unsafe,Adult
"এর পর থেকে এরকম কথা বলবেন না নাটক করেন ঠিক আছে  তবে ইসলাম নিয়া এরকম কথা বলবেন না যদি মুসলিম নারী হন তাহলে ইসলামিক শিক্ষায় শিক্ষা  অর্যন করেনআশা করি কথা গুলো আমলে নিবেন   আল্লাহ আমাদের সবাইকে পরকালকে বুযার তৈফিক দান করুন,,, আমিন",bangla_comment_dataset,Safe,Safe
"বাংলার আসল হিরো, মাশরাফি ভাই, অনেক অনেক ভালোবাসি ভাই ❤❤",bangla_comment_dataset,Safe,Safe
ভদা খাওাই দিমু,toxic_comments,Unsafe,Harmful
সব পরিবর্তন হলেও তুই যে গে সেটা কখনও কেউ পরিবর্তন করতে পারবে না,toxic_comments,Unsafe,Harmful
"খেলনার ভেতর চুম্বক আছে জানার পর আমি বলি, তোকে ভাঙ্গা ছাড়া আর উপায় নাই ",bengali_hate,Safe,Safe
""" ছফারা যুগে যুগে জন্মায় না, এক'শ বছরে একজনই জন্মায়""- নিজের  মুখে  নিজের  কথা এভাবে  শুনাতে বেমানান ঠেকলেও প্রচণ্ড  মানসিক শক্তির অধিকারী আত্নবিশ্বাসী আহমদ  ছফা কিন্তু এ স্পর্ধিত  উচ্চারণটা অবলীলায় করেছিলেন।  ত্রিকালদর্শী, বাংলা সাহিত্যের এ কিংবদন্তী মনীষী পুরুষের আজ মৃত্যু দিবস। ২০০১ সালের ২৮ জুলাই  তিনি না ফেরার দেশে চলে যান। 

      আহমদ ছফা এমনই এক কিংবদন্তি লেখক, যিনি মরে গিয়েও প্রবলভাবে বেঁচে আছেন আমাদের মাঝে। তার লেখনি, তার প্রতিবাদ, তার চিন্তা- চেতনা আমাদের  আলোড়িত করে।  তার স্ববিরোধ আমাদের ভাবায়। তাকে নিয়ে তর্ক- বিতর্ক হয়। বিভিন্নভাবে তিনি সজীব বলেই তার উপস্থিতি আমরা টের পাই।  বুদ্ধিবৃত্তিক বিষয়বিন্যাস, মানসিক, সাংস্কৃতিক ও আর্থসামাজিক সূক্ষাতিসূক্ষ্ম অনুষঙ্গ তার লেখননীর উপাদান।
                চট্রগ্রামের চন্দনাইশের গাছবাড়িয়া গ্রামে ১৯৪৩ সালের ৩০ জুন জন্ম নেয়া  এ ব্যক্তিত্ব তার সাহিত্যের মাধ্যমে বেঁচে থাকবেন পাঠকদের হৃদয়ে অনাদিকাল। ঘুণেধরা সমাজের প্রথাবিরোধী এ চিন্তককে মৃত্যুদিবসে স্যালুট।",BanglaSAPM,Safe,Safe
তর পাশের মাল টা কে রে???,toxic_comments,Unsafe,Harmful
সাকিবকে চাই,bangla_comment_dataset,Safe,Safe
ভালো থাকো বাংলাদেশ!,BanglaSAPM,Safe,Safe
"অনুভূতি শুন্য লাগে নিজেকে,হারিয়ে গেছি জীবন থেকে মনে হয়",BanglaSAPM,Unsafe,Suicidal
ভুতাানি দুধ,toxic_comments,Unsafe,Adult
"আচ্ছা আপনার কাছ থেকে যদি শুধুমাত্র ভাষাটা কেড়ে নেওয়া হয়, তাহলে আপনার মধ্যে কি অবশিষ্ট থাকবে? 
-- কিছুই অবশিষ্ট থাকবে না। কারন আপনি তখন চিন্তা করার ক্ষমতা হারাবেন। তখন আপনার আর একটি চতুষ্পদী প্রানীর মধ্যে কোনো তফাৎ থাকবে না।",BanglaSAPM,Safe,Safe
দিন শেষে আমরা সবাই একা,BanglaSAPM,Safe,Safe
" ওমা
আরিপ্পা সা০০য়ার টুকরা টা শুকায়া পুটি মাছের শুটকির পুটকি মতো হইয়া গেছে",toxic_comments,Unsafe,Adult
মানুষ থেকে রোবট হয়ে তারা রোবটের ভিতরে মানবিক গুণাবলি বিকাশে ব্যস্ত......,BanglaSAPM,Safe,Safe
ঐ শুয়োরের মুখে কোষে দুটা জুতার বারি মার ঐ খানকি মাগির এত সাহস পাইলো কথা থেকে ট্রাম জিতার পর থেকে এই মাগির এত স্পর্ধা বেড়েছে,bengali_hate,Unsafe,Adult
এই মাইয়া মনে হয় গর্ববতী ওর পেটে হাত কেন ?,bengali_hate,Unsafe,Adult
অসাধারণ হয়েছে কাজ গুলো ভাইয়া ,bangla_comment_dataset,Safe,Safe
সে তোমরা যাইই কর না কেন? আমাদের বাপু লিংক চাই☺,bangla_comment_dataset,Safe,Safe
কেউ কারো নয় হাজারো মানুষের ভীরে সবাই একা,BanglaSAPM,Unsafe,Suicidal
"আত্মহত্যার খবর শুনে, উপমার 
        কষ্ট পেয়েছি ভীষণ।
লেখাপড়ায় ভালো ছিল বলে সেই
       কেড়েছিল সবার মন।
পিএসসি, জেএসসি, এসএসসিতে
       রেজাল্ট জিপিএ ফাইভ,",BanglaSAPM,Safe,Safe
বন্ধু খাতা জমা দিয়েছে আমারও জমা দিতে হবে Nura pagla,Facebook,Unsafe,Harmful
ভালোর চেয়ে খারাপই বেশি,BanglaSAPM,Unsafe,Suicidal
বিদাশের,Facebook,Safe,Safe
