text,class,source,category
"আমার বাড়িতে ধরুন আমি আছি আর আমার বউ আছে আর আমার ছেলে আর আমার ছেলের বউ। আচ্ছা স্যার আপনি বাই প্রফেশন কি করেন? আমি টোটো কোম্পানির ম্যানেজার। তার মানে স্যার কিছু করেন না তাইতো। হ্যাঁ কিন্তু এইবার করবো আপনার টাওয়ার চাকরিটা। আপনার ছেলে কি করে? ও ও টোটো কোম্পানির ম্যানেজার। তারমানে উনিও কিছু করেন না। লাও বাবা কি বলছি আর আপনি কি বুঝছেন বলি গুজরাটে একটা টোটো তৈরির ফ্যাক্টরি আছে ওইখানে ও আবার ম্যানেজারি করে। আপনার বউমা কোথায় থাকেন স্যার? আমার বউমা ভাতারের কাছে থাকে। তার মানে ছেলের কাছে গুজরাটেই থাকে। লাও বাবা কি বলছি আর কি বুঝছে! বলি বধমান জেলাতে ভাতার বলে একটা জায়গা আছে, ওই তার কাছে একটা গ্রামে আমার বউমার বাপেরবাড়ি আর কি ও আচ্ছা আচ্ছা স্যার। আপনার মিসেস কোথায় থাকেন? ও ভাতারের কাছেই থাকে। তার মানে আপনার বউমার কাছেই থাকেন। লাও বাবা কি বলছি আর কি বুঝছেন আপনি। বলি আমার বউ আমার কাছেই থাকে। বলি আমি তো আমার বউয়ের ভাতার নাকি। আচ্ছা ঠিক আছে ঠিক আছে স্যার।বলছি স্যার আমাদের প্রতিনিধি খুব শীঘ্রই আপনার বাড়িটা সার্রভে করার জন্য যাবে তো আপনার ছাদটা এপ্রোভ হয়ে গেলেই কিন্তু আপনাকে টাকাটা আমাদের অ্যাকাউন্টে জমা করে দিতে হবে। ওটা আপনি মানে যত তাড়াতাড়ি করবেন আমরা প্রসিড ততো তাড়াতাড়ি করতে পারবো আর কি। হ হ করে দেবো করে দেবো একদম চিন্তা করবেন না। আপনি তাড়াতাড়ি ওই ব্যাপারগুলো করুন আর আপনি আপনার অ্যাকাউন্ট নাম্বার টা পাঠান তবে কিন্তু একটা কথা বলে দিচ্ছি শুনুন হ্যাঁ স্যার মানে আমার বউকে কিন্তু নিউমোনিয়া করে দিতে হবে। নিউমোনিয়া! নিউমোনিয়া!! ওই কোট কাগজে লিখে দিতে হবে কালকে যে আমার অবর্তমানে আমার বউ আর কি ছাদের ভাড়াটা তারপরে ওই চাকরিটা যেমন পায় সেটা কিন্তু ভালো করে পাকাপাকি লিখে দিতে হবে। ওহ হো নোমিনি স্যার ওটা নোমিনি বলে। আচ্ছা সেসব হয়ে যাবে কোন অসুবিধা নেই স্যার। তবে স্যার আর একটা কথা ছিল আর কি মানে আমার ঘরের ছাদটা মনে হয় টালির ছাদ আর কি। তাতে কোন অসুবিধা হবে না তো? এতক্ষণ ধরে বকিয়ে শেষে টালির ছাদ। স্যার রাখবেন না স্যার বলি আপনিও তো প্রথম দিকে বলেন নাই যে পাকা ছাদ দরকার। সেটাতে শুধু টিপাটিপি করা যায় ঘষাঘষি ও করা যায় না তাতে একটা ভোডাফোনের আরেকটা জিওর দুই দুইটা যদি টাওয়ার থাকে তো আমার অত বড় ছাদটাতে আপনেদের একটা টাওয়ার বসবে না স্যার?আমার অত্ত বড় সুযোগটা নষ্ট করে দিবেন না স্যার। স্যার আমি আমার ঘরটা ভেংগে দেবো স্যার। স্যার আপনি ওইখানে টাওয়ার বসাবেন। আমি আমার ঘরটা ভেংগে দেবো। ঘরটা ভেঙে থাকবেন কোথায়? কেন স্যার বলি শুধু রাত টুকুই তো ব্যাপার স্যার। বলি মিয়া মরদে চামচিকার মতো ওই টাওয়ারে ঝুলেই রয়ে যাব। বলি স্যার আপনার এত টাকা দিবেন আর আমরা এইটুকু কষ্ট করতে পারবো না স্যার",Safe,Facebook,Safe
মুনতাহা: তুই আর তোর বয়ফ্রেন্ড কি এখনও আগের মতো ঝগড়া করিস? মিতু: না মুনতাহা: কীভাবে সম্ভব হলো? মিতু: আমার বয়ফ্রেন্ড মারা গেছে।,Safe,Facebook,Safe
jkn aka aka Ghumai,Adult,Facebook,Unsafe
খা** কি বসে না দেখলে মিস,Adult,Facebook,Unsafe
বয়স্ক পিচ্চি। লুইচ্চা বন্ধুকে ভদ্রতা শিখাচ্ছি সারাদিন মেয়ে নিয়ে ঘুরে আর রাত হলেই গল্প শুনিয়ে কান নষ্ট করে তাই,Safe,Facebook,Safe
অন্য মেয়েরা যখন মেকাপ করে...! আর bestie যখন মেকাপ করে...!,Safe,Facebook,Safe
জলহস্তী গুলো কিসের খাটে ঘুমায় বন্ধুর বউ *লে ব ন্ধু পাঠা আর পাঠি যখন কাপল ব্লগ করে,Safe,Facebook,Safe
Nah Abbu tumi bollei Ami Masters korbo nah! Amar nijer akta dream AKTA GOAL ASEH! Abar mukhe mukhe kotha Ar eijeh ato goal goal korteso? Tumi aitao jano nah jeh Messi kom desher player? AMI JANI! REALPOOL!NAAAAAHHH!!!,Safe,Facebook,Safe
আমি যখনই চেষ্টা করি আমার life-এ একটা প্রেম আনার...!,Safe,Facebook,Safe
MunMum Islam,Safe,Facebook,Safe
me enjoying my life peacefully she with her* mood-swings me*,Safe,Facebook,Safe
THE Breakfast,Safe,Facebook,Safe
FRIEND,Safe,Facebook,Safe
Mood rn ladesh Cinema,Safe,Facebook,Safe
"মাঈনুল আহসান নোবেল (ঢাকা, বাংলাদেশ)",Safe,Facebook,Safe
আসো এখন ই,Adult,Facebook,Unsafe
ছেলেদের জীবন এতো সহজ না,Safe,Facebook,Safe
বন্ধুর ভবিষ্যত শেষ,Safe,Facebook,Safe
বন্ধু যখন গ্যাস ছাড়ে,Safe,Facebook,Safe
কয়দিন ধরেই স্টাটিং নাই..! গড়ি রয়েছে পইড়া..!জলদি আমায়..! তেল দাও বন্ধু..!পুরা টাংকি ভইরা..!ইঞ্জিন আমার বইয়া গেলো..!দু:খে বাচি না..! বন্ধু তোর পাম্পে..! ও বন্ধু তোর পাম্পে..!তেল নাই দেইখা কয়দিন আসি না..!বন্ধু তোর পাম্পে..!ও বন্ধু তোর পাম্পে..!তেল নাই দেইখা কয়দিন আসি না..!বন্ধু তোর পাম্পে..!,Safe,Facebook,Safe
টয়লেট করার সময় সাউন্ড করতে হেবি মজা,Adult,Facebook,Unsafe
"DIALOGUE ছেড়ে দে শয়তান, ছেড়ে দে! তুই আমার দেহ পাবি, কিন্তু মন পাবি না!",Safe,Facebook,Safe
সুন্দরী বউ যখন পুকুরে নামে বয়স্ক পিচ্চি হালায় কইলোডা কি রে,Adult,Facebook,Unsafe
MunMum Islam,Safe,Facebook,Safe
বাবা-মা এর পরে স্বামী হল তোমার একমাত্র আশ্রয়স্থল পান্তা-ইলিশ Nexus,Safe,Facebook,Safe
পিওর লাভ This is বিজনেস টাকা পাইলে ভুড়ি ওয়ালা বুড়া কাকার বউ হইতেও রাজি,Safe,Facebook,Safe
এটা দেখে পানিতে শুটিং করার শখ মিটে গেসে,Safe,Facebook,Safe
এক সপ্তাহ ছুটির পর অফিস এসে ওয়ার্ক লোড দেখার পর আমি,Safe,Facebook,Safe
MunMum Islam,Safe,Facebook,Safe
"Shajalal Kabir বউ: এই শুনো, ৩০ হাজার টাকা দিয়ে মোবাইল কিনলাম। স্বামী : ওরে বাবা, এত দাম! বউ: আরে গাধা এটা খুব ভালো মোবাইল, দোকান দার বললো এটাতে ফেস রেকগনিশন আছে। স্বামী : ফেস রেকগনিশন এটা আবার কি...? বউ: মানে হলো, মোবাইলের দিকে তাকালেই লক খুলে যাবে, আর যদি মোবাইলটা হারিয়ে যায়, তখন ও নিজেই আমাকে দেখে ফিরে আসবে। স্বামী",Safe,Facebook,Safe
A WINTER EMOTIONS,Safe,Facebook,Safe
তোমার Massage যখনই আমি আমার Notification এ দেখি...!,Safe,Facebook,Safe
এ আবার কেমন রোগ Nura,Adult,Facebook,Unsafe
পুলিশ যখন হ্যান্ডেল মারে,Adult,Facebook,Unsafe
"Shajalal Kabir  শালী: আচ্ছা দুলাভাই, দু:খ চিরস্থায়ী হয়! সুখ আসে আবার চলে যায়, এটার ইংরেজি কি হবে...? দুলাভাই: My wife is always with me. her sister comes and goes! শালী আপু দুলাভাই",Safe,Facebook,Safe
লোকটা না আটকালে বড় সমস্যা হত,Safe,Facebook,Safe
আমি তোমাকে ভালোবাসা বন্ধ করে দিব যেইদিন এটা জল দিয়ে ভর্তি হবে...!,Safe,Facebook,Safe
চোখ বন্ধ করে বাল কাটবো,Harmful,Facebook,Unsafe
"যে লক্ষণগুলো দেখলে বুঝবেন সে একজন বাইকার #১ তাদের কনুই ও হাটুতে সারাবছরই কালো দাগ দেখা যায় #২ সিজি নিয়ে তাদের টেনশন নাই, তাদের যত টেনশন সিসি নিয়ে।#৩ সিএনজিওয়ালা ও রিক্সাওয়ালা দেখলেই তাদের মেজাজ খারাপ হয়ে যায়। #৪ ট্রাফিক পুলিশ দেখলে তাদের বুক ধড়ফড় করে।#৫ কোথাও চিপা দেখলেই তারা সেখানে ঢুকে পড়েন।",Harmful,Facebook,Unsafe
Thanks for being a top engager and making it on to my weekly engagement list! Abdullah Al Rafi Local Chele Toma Afrin Keya Afrin Kona Farhan Ahmed ঘুমন্ত রাজ্যের ঘুমন্ত কোমার Thank You,Safe,Facebook,Safe
The Talking Bro রাজা গো সিক্স প্যাক থাকে না,Safe,Facebook,Safe
পাকিস্তানেও মামলা খেতে পারেন সাকিব আল হাসান,Safe,Facebook,Safe
"Shajalal Kabir তুমি কি জানো?? শ্রীলঙ্কার পতাকায় সিংহের হাতে তলোয়ার কেন? ৫০০ বছর আগে রাজা বিয়ে করার জন্য মেয়ে খুঁজছেন, রাজার আদেশে, রাজ্যের ২০টি সুন্দরী মেয়ে কে উপস্থিত করা হয়। (বাকীটুকু কমেন্টে)",Safe,Facebook,Safe
শীতের সোদলে রাজনৈতিক আলাপ নিষেধ নয় মুরাদ টাকলা অভিধান সিমু নাসের পীয়ান মুগ্ধ নবী ডিগবাজি আদনান আজ রাত ১০ টা পর্যন্ত সকল প্রোডাক্ট নিয়ে আমরা থাকছি যাত্রা বিরতি-তে। আমি আর খেলবো না খেলবে কে জানাচ্ছি,Safe,Facebook,Safe
বেশি লোভ করিছ না The talking Bro,Adult,Facebook,Unsafe
তোমার ভাই আমার ভাই মোরসালিন ভাই মোরসালিন ভাই,Safe,Facebook,Safe
আমার bestie যখনই ক্যামেরা দেখে...!,Safe,Facebook,Safe
এটাই হচ্ছে আমার bestier talent,Harmful,Facebook,Unsafe
"১#আইনশৃঙ্খলা বাহিনীকে দেখামাত্র গুলির নির্দেশ দেওয়া হয়নি ওবায়দুল কাদের আওয়ামীলীগের সাধারণ সম্পাদক ও সাবেক সেতু মন্ত্রী ০১আগস্ট ২০২৪ তথ্যসূত্র: এনটিভি অনলাইন ২#হেলিকপ্টার থেকে পানি দিয়ে আগুন নেভানোর চেষ্টা করেছি শেখ হাসিনা প্রধানমন্ত্রী ০১আগস্ট ২০২৪ তথ্যসূত্র:দ্য ডেইলি স্টার ৩# এ আন্দোলনে পুলিশের গুলিতে কেউ মারা যায়নি আসাদুজ্জামান আওয়ামীলীগ সরকারের স্বরাষ্টমন্ত্রী ০৩আগস্ট ২০২৪ তথ্যসূত্র:দ্য ডেইলি স্টার ৪# কাউকে দমানো বা থামানোর জন্য ফেসবুক বন্ধ করা হয়নি মোহাম্মদ এ আরাফাত আওয়ামীলীগ সরকারের তথ্য প্রতিমন্ত্রী ০৪আগস্ট ২০২৪ তথ্যসূত্র:সমকাল ভিডিও তে যে অডিওটি শুনেছেন, এটি যাত্রাবাড়ি এলাকার। ৫ আগস্ট পুলিশ এখানে অনেক নিরস্ত্র মানুষকে নির্বিচারে গুলি করে মারে। পাশের বিল্ডিংয়ের এক বাসিন্দা ভিডিও করে বারান্দা থেকে। ভিডিওটি এতটাই বীভৎস যে, এটি মানুষকে দেখানো আমাদের পক্ষে সম্ভব হয়নি।",Safe,Facebook,Safe
যখনই হঠাৎ করে তোমার কথা মাথায় চলে আসে...! আমি*,Safe,Facebook,Safe
তোমার মনের মধ্যে ঢুকে বসে গেলাম আর কাউকে ঢুকতে দেবো না...!,Safe,Facebook,Safe
My conversation skills Hindi Bangla English,Safe,Facebook,Safe
শীতকালের সকালের সময় আমাদের সাথে যা করে,Safe,Facebook,Safe
হারাই ফেলছো তুমি সেই মানুষটাকে যে কিনা সারাদিন অপেক্ষা করতো! শুধু তোমার একটা মেসেজের৷ জন্য,Safe,Facebook,Safe
সব জায়গায় হাত ঢুকাইয়া নাক গলানো উচিত না বয়স্ক পিচ্চি,Safe,Facebook,Safe
বড়ো হয়ে কোনদিন আমি মদ ছুঁয়েও দেখবো না...! এখন আমি*,Harmful,Facebook,Unsafe
The Talking Bro,Safe,Facebook,Safe
DESH CREATION Kuk Kuk Kuk Kuk Kuk Kuk Kuk Kuk Kuk Kuk Kuk Kuk Kuk,Adult,Facebook,Unsafe
ছোট বেলায় দুই বন্ধু যা করতাম,Harmful,Facebook,Unsafe
আমি আর আমার gf without any reason...!,Safe,Facebook,Safe
সে যখন অন্য ছেলেদের সাথে কথা বলে.! আমি* আমার jealousy,Suicidal,Facebook,Unsafe
ডাক্তার : আপনার ব্যথাটা কতক্ষণ পর পর হয়? রোগী:পাঁচ মিনিট পর পর ডাক্তার : থাকে কতক্ষণ? রোগী : আধা ঘণ্টা,Safe,Facebook,Safe
মেয়র নগরবাসী,Safe,Facebook,Safe
"হ্যালো অনিমা ইলেকট্রিক্যাল হ্যাঁ বলছি, আপনি কে বলছেন?আমি বাপ্পি বলছি হ্যাঁ বলুন বলি মাস কতক আগে আমি একটা ফ্রিজ কিনেছিলাম ফেরত দিয়ে দিব ভাবছি নাহ...দু:খিত স্যার আমরা তো এভাবে বিক্রিত জিনিসটা ফেরত নিতে পারি না আপনার কি সমস্যা হচ্ছে বলুন সমস্যা মানে যন্ত্রটা কেনার পর থেকে সমস্যা আর সমস্যা কেন কি হয়েছে? তাহলে শুনুন, প্রথম থেকে আপনাকে বলি যেদিন ফ্রিজটা কিনে নিয়ে আসলাম তো বলি কি রাখবো? কি রাখবো? তো আপনারা বলেছেন যা রাখবে টাটকা তাজা থাকবে তো সেদিন বুঝলেন গিন্নী গরম গরম মুড়ি ভেপেছিল তো আমি ওই মুড়ির টিনটাই ফ্রিজের মধ্যে রেখে দিলাম তো সকাল বেলা বুঝলেন এমন মিয়াইছে যে মানুষের মুখে দেওয়া তো দূরের কথা কুকুরগুলো পর্যন্ত মুখে দেই নি একটা আরে বাবা! আপনি মুড়ি রাখতে গেলেন কেনো?অন্য কিছু খাবার জিনিস রাখতেন। হ রাইখেছিলাম। বিস্কুটের ডিব্বা রাখছিলাম। বিস্কুট গুলোও রাখতে গেলেন কেনো? ওটাও নিশ্চয়ই নরম হয়ে যাবে আর নরম পাতলা পাতলা পায়খানার মতে এমন লেতেপেতে হয়ে গেছে একদম তবে ওটা কুকুরগুলো বেশ ফুর্তি করে চেটেপুটে খাইছে কেনো আপনি ভাত, ডাল, শাক-সবজি কিছু রাখতে পারলেন না? আর ভাতের কথা বলবেন না তো সেদিন খাওয়া - দাওয়ার পরে ভাত ছিল তো গিন্নী কে বললাম শুনো এক কাজ করো ভাতে জল ঢেলে ফ্রিজে রেখে দাও তো গিন্নী ও কি করলো ভাতে জল ঢেলে ডেক্সিসহ ডীপ ফ্রিজ রেখে দিলো সকাল বেলাতে দেখছি মশাই ভাতের আইসক্রিম হয়ে গেছে মিয়া মরদে চুষে চুষে খেলাম যাক! নতুন কিছু তো খেলেন! আর খাবার কথা বইলেন না। এই ফ্রিজের জন্য পাড়া-পড়শীর কেলানি ও খেলাম কেন?ফ্রিজের সাথে আবার ক্যালানির কি সম্পর্ক? আর বইলেন না মশাই সেদিন বুঝলেন পাশের ঘরে সকাল থেকে দুই ভাইয়ে দমে চেচামেচি করছে তো আমি অনেকক্ষণ ধরে শুনে শুনে আর থাকতে পারলাম না। ওদের দিকে গিয়ে বললাম বলি শোন তোরা মুখে মুখে না চেচিয়ে ফাটাফাটি, গুতাগুতি, লাঠালাঠি যা পারবি কর যত বরফ লাগবে আমি দিবো তোরা ঘোষবি আমি নতুন ফ্রিজ কিনেছি বরফের অভাব হবে না তো তা মশাই নিজেদের গন্ডগোল তো থেমে গেল দুই ভাই মিলে আমাকে একদম কাতলা পাড়া করে দিল আর এসব ঝুট ঝামেলার মধ্যে আপনার থাকার দরকার কি ছিল?বলি নতুন ফ্রিজ কিনেছি যদি কিছু লোকের উপকারে লাগে তো লাগুক তো তা মশাই আজকাল কার দিনে যেচে লোকের উপকার করতে নেই কিন্তু এটা তো মানবেন যে আপনার গ্যাসের খরচ কমে গেছে আর গ্যাসের খরচ কমার কথা তো বলবেন না ডবল হয়ে গেছে ডবল কি করে? এই যে আমার গিন্নী কি করে কালকের রান্নাটা আজকে করে রাখে বলে যে গরম গরম রাধবো আর খাবো কি তাহলে ফ্রিজ কিনেছি কিসের জন্য? তো একদিন রান্নার জন্য গ্যাস পুড়ছে আর পরের দিন গরম করে খাবার৷ জন্য আবার গ্যাস পুড়ছে",Safe,Facebook,Safe
এটা আবার কেমন গান,Adult,Facebook,Unsafe
Women নকল হইতে সাবধান বাদ দেন ভাই বেডি মানুষ চায়নার প্রোডাক্ট হক মেরে দিচ্ছে পুরুষের,Adult,Facebook,Unsafe
নেতা বিদ্দেশে desh creation,Safe,Facebook,Safe
"PRANK CALLS BE LIKE: Jishan bhai er mathai akdin AKTA SHERA IDEA ASHLO! Ato din to amra baje kotha bolsi how about amra akta call diye, aibar bhalo kotha boli, JEI BHABA SHEI KAJ!!Udoy bhaiya prothome amar ammuke akta call lagai HELLOOOO? Hello aita ki Antik er number?AHHHHHHH, Ji ami Antik er maa bolchi KE BOLCHEN? Madam apni amake, CHINBEN NAH! Kintu apnar chele ke, AMI CHINI Madam apnar cheleto,AKTA ROTNO!!ROTNOOO?Maybe wrong number e, PHONE DISEN!!",Safe,Facebook,Safe
শেষটা থাম ভাই এবার আর খুলিস না কি দেখতে চাস ভাই,Harmful,Facebook,Unsafe
Bondhu Dark Humor Mane ki Dark Humor Tui Amk Ekta Thappor Maar Maaar Mar na Kire Maar na Ay,Safe,Facebook,Safe
মনে রাইখো সবাই The Talking Bro,Safe,Facebook,Safe
কি করছে কি করতেছে,Adult,Facebook,Unsafe
ও কন্যা রূপের বন্যায় আমায় ভাসাইলো মনটা কাড়িল হলুদ পাখি সাজিল লাইট ক্যামেরা ড্যান্স হলুদ হলুদ ফ্রেন্স মিস করোনা চান্স হলুদ হলুদ ড্যান্স লাইট ক্যামেরা ড্যান্স হলুদ হলুদ ফ্রেন্স মিস করোনা চান্স হলুদ হলুদ ড্যান্স,Safe,Facebook,Safe
"বড়দিনে আলিয়া রণবীর বাড়িতেই, মিম দুবাই, অর্জুন লন্ডনে আমি:",Safe,Facebook,Safe
দোস্ত চল পাহাড়ে ট্রেকিং- এ যাই আইলসা ফ্রেন্ড: এমন সুবিধা আছে?,Safe,Facebook,Safe
ছাদে কি যেনো হচ্ছে,Safe,Facebook,Safe
POV: আমরা দুই বোন আমাদের কোনো ভাই নাই,Safe,Facebook,Safe
এটাই যদি এমন হয় ভিট'রে কেমন হবে,Safe,Facebook,Safe
স্বামী যখন অনেক দিন পর বিদেশ থেকে আসে Sherrys room nura,Adult,Facebook,Unsafe
ঘটনা উল্টে গেলো,Harmful,Facebook,Unsafe
ঢাকায় বিএনপির পদযাত্রা x আওয়ামীলীগের শান্তি ও উন্নয়ন শোভাযাত্রা তীব্র গরম ও জ্যামে ঢাকাবাসী:,Safe,Facebook,Safe
Single আমি- The Talking Bro,Adult,Facebook,Unsafe
রেস্টুরেন্টে ম্যাজিস্ট্রেট এর খাবার পরিদর্শন চলছে নিব্বা নিব্বির পরীক্ষা মূলক ভালোবাসা সেই স্বাদ সেই টেস,Adult,Facebook,Unsafe
